poleNo,brand,model,material,type,colour,gender,eyeSize,bridgeSize,sideLength,barcode,patientSideLength,patientFaceWidth,isSunglass,vari,FaceShapes,AgeKeywords,View,Front,Side
18M,7 For All Mankind,7905,Plastic,Fullrim,Tort,Male,50,19,140,505478142650,MediumSL,SmallPD,1,1,Oval Rectangular Square,Modern Traditional,/Images/FrameImages/18M1.jpg,/Images/FrameImages/18M2.jpg,/Images/FrameImages/18M3.jpg
18N,7 For All Mankind,7907,Plastic,Fullrim,Black,Male,51,18,145,505478142650,LargeSL,MediumPD,1,1,Oval Rectangular Square,Modern Traditional,/Images/FrameImages/18N1.jpg,/Images/FrameImages/18N2.jpg,/Images/FrameImages/18N3.jpg
18O,7 For All Mankind,Fernando,Metal,Fullrim,Gun,Male,61,14,142,505478142650,MediumSL,LargePD,1,1,Oval Rectangular Square,Modern Traditional,/Images/FrameImages/18O1.jpg,/Images/FrameImages/18O2.jpg,/Images/FrameImages/18O3.jpg
18P,Penguin,Hichpockets,Plastic,Fullrim,Black,Male,53,19,140,505478142650,MediumSL,MediumPD,1,1,Oval Rectangular Square,Modern,/Images/FrameImages/18P1.jpg,/Images/FrameImages/18P2.jpg,/Images/FrameImages/18P3.jpg
18Q,Penguin,Snead,Plastic,Fullrim,Tort,Male,55,16,135,505478142650,SmallSL,MediumPD,1,1,Oval Rectangular Square,Modern,/Images/FrameImages/18Q1.jpg,/Images/FrameImages/18Q2.jpg,/Images/FrameImages/18Q3.jpg
18R,Penguin,Doyle,Plastic,Fullrim,Black,Male,49,21,145,505478142650,LargeSL,SmallPD,1,1,Oval Rectangular Square,Modern Traditional,/Images/FrameImages/18R1.jpg,/Images/FrameImages/18R2.jpg,/Images/FrameImages/18R3.jpg
19A,Karl Lagerfeld,KL884-115,Plastic,Fullrim,Tort,Male,54,18,140,505478142650,MediumSL,MediumPD,0,1,Oval Round Rectangular,Modern Traditional,/Images/FrameImages/19A1.jpg,/Images/FrameImages/19A2.jpg,/Images/FrameImages/19A3.jpg
19B,Karl Lagerfeld,KL885-54,Plastic,Fullrim,Tobacco,Male,54,16,140,505478142650,MediumSL,MediumPD,0,1,Oval Round Rectangular,Modern,/Images/FrameImages/19B1.jpg,/Images/FrameImages/19B2.jpg,/Images/FrameImages/19B3.jpg
19C,Karl Lagerfeld,KL238-501,Metal,Fullrim,Black,Male,54,17,140,505478142650,MediumSL,MediumPD,0,1,Oval Rectangular,Modern Traditional,/Images/FrameImages/19C1.jpg,/Images/FrameImages/19C2.jpg,/Images/FrameImages/19C3.jpg
19D,Karl Lagerfeld,KL222-517,Metal,Fullrim,Green,Male,55,17,140,505478142650,MediumSL,MediumPD,0,0,Oval Round,Modern Traditional,/Images/FrameImages/19D1.jpg,/Images/FrameImages/19D2.jpg,/Images/FrameImages/19D3.jpg
19E,Karl Lagerfeld,KL803-36,Plastic,Fullrim,Green,Male,54,15,140,505478142650,MediumSL,MediumPD,0,1,Oval Round,Modern,/Images/FrameImages/19E1.jpg,/Images/FrameImages/19E2.jpg,/Images/FrameImages/19E3.jpg
19F,Karl Lagerfeld,KL228-502,Metal,Fullrim,Bronze,Male,54,18,140,505478142650,MediumSL,MediumPD,0,1,Oval Rectangular,Modern Traditional,/Images/FrameImages/19F1.jpg,/Images/FrameImages/19F2.jpg,/Images/FrameImages/19F3.jpg
19G,Karl Lagerfeld,KL226-508,Metal,Fullrim,Black,Male,52,19,140,505478142650,MediumSL,MediumPD,0,1,Oval Rectangular,Modern Traditional,/Images/FrameImages/19G1.jpg,/Images/FrameImages/19G2.jpg,/Images/FrameImages/19G3.jpg
19H,Karl Lagerfeld,KL216-508,Plastic,Fullrim,Black,Male,53,17,140,505478142650,MediumSL,MediumPD,0,0,Oval Round Rectangular,Modern Traditional,/Images/FrameImages/19H1.jpg,/Images/FrameImages/19H2.jpg,/Images/FrameImages/19H3.jpg
19K,Karl Lagerfeld,KL905S-13,Plastic,Fullrim,Tort,Male,58,15,140,505478142650,MediumSL,LargePD,1,1,Oval Rectangular Square,Modern Traditional,/Images/FrameImages/19K1.jpg,/Images/FrameImages/19K2.jpg,/Images/FrameImages/19K3.jpg
19L,Karl Lagerfeld,KL871S-13,Plastic,Fullrim,Tort,Male,56,17,140,505478142650,MediumSL,MediumPD,1,1,Oval Round,Modern Traditional,/Images/FrameImages/19L1.jpg,/Images/FrameImages/19L2.jpg,/Images/FrameImages/19L3.jpg
19M,Karl Lagerfeld,KL871S-77,Plastic,Fullrim,Black,Male,53,16,140,505478142650,MediumSL,MediumPD,1,1,Oval Round,Modern,/Images/FrameImages/19M1.jpg,/Images/FrameImages/19M2.jpg,/Images/FrameImages/19M3.jpg
19N,Flex,TA3703,Flex,Fullrim,Black,Male,54,17,140,505478142650,MediumSL,MediumPD,1,1,Oval Rectangular,Modern Traditional,/Images/FrameImages/19N1.jpg,/Images/FrameImages/19N2.jpg,/Images/FrameImages/19N3.jpg
19O,Flex,TA3704,Flex,Fullrim,Black,Male,56,17,145,505478142650,LargeSL,MediumPD,1,1,Oval Rectangular,Modern Traditional,/Images/FrameImages/19O1.jpg,/Images/FrameImages/19O2.jpg,/Images/FrameImages/19O3.jpg
19P,Flex,TA3705,Flex,Fullrim,Blue,Male,54,17,145,505478142650,LargeSL,MediumPD,1,1,Oval Round Rectangular,Modern Traditional,/Images/FrameImages/19P1.jpg,/Images/FrameImages/19P2.jpg,/Images/FrameImages/19P3.jpg
19Q,Flex,PW027,Flex,Fullrim,Gun,Male,58,16,145,505478142650,LargeSL,LargePD,1,1,Oval Rectangular Square,Modern Traditional,/Images/FrameImages/19Q1.jpg,/Images/FrameImages/19Q2.jpg,/Images/FrameImages/19Q3.jpg
19R,Flex,PW028,Flex,Fullrim,Brown,Male,58,16,145,505478142650,LargeSL,LargePD,1,1,Oval Rectangular Square,Modern Traditional,/Images/FrameImages/19R1.jpg,/Images/FrameImages/19R2.jpg,/Images/FrameImages/19R3.jpg
20A,Penguin,Huck,Plastic,Fullrim,Black,Male,56,17,145,505478142650,LargeSL,MediumPD,0,1,Oval Rectangular,Modern Traditional,/Images/FrameImages/20A1.jpg,/Images/FrameImages/20A2.jpg,/Images/FrameImages/20A3.jpg
20B,Penguin,Wayne,Metal,Fullrim,Brown,Male,55,18,140,505478142650,MediumSL,MediumPD,0,1,Oval Round Square,Modern,/Images/FrameImages/20B1.jpg,/Images/FrameImages/20B2.jpg,/Images/FrameImages/20B3.jpg
20C,Penguin,Sly,Plastic,Fullrim,Brown,Male,53,18,140,505478142650,MediumSL,MediumPD,0,1,Oval Round Square,Modern,/Images/FrameImages/20C1.jpg,/Images/FrameImages/20C2.jpg,/Images/FrameImages/20C3.jpg
20D,Penguin,Seaver,Plastic,Fullrim,Tort,Male,50,17,140,505478142650,MediumSL,SmallPD,0,1,Oval Round,Modern Traditional,/Images/FrameImages/20D1.jpg,/Images/FrameImages/20D2.jpg,/Images/FrameImages/20D3.jpg
20E,Penguin,Thompson,Plastic,Fullrim,Gray,Male,50,19,145,505478142650,LargeSL,SmallPD,0,1,Oval Round,Modern Traditional,/Images/FrameImages/20E1.jpg,/Images/FrameImages/20E2.jpg,/Images/FrameImages/20E3.jpg
20F,Penguin,Carmichael,Plastic,Fullrim,Burgundy,Male,50,19,135,505478142650,SmallSL,SmallPD,0,1,Oval Round,Modern Traditional,/Images/FrameImages/20F1.jpg,/Images/FrameImages/20F2.jpg,/Images/FrameImages/20F3.jpg
